grupo,tempo_em_dias,n_risco,n_evento,n_censura,survival_prob,hazard_step,tempo_anos,n_inicial,tempo_max_dias
GERAL,11921,2219702,392,9,0.22248803415456764,0.00017660028238024745,32.63791923340178,67175202,49086
GERAL,11922,2219301,311,5,0.22245685596890374,0.00014013421343026476,32.64065708418891,67175202,49086
GERAL,11923,2218985,257,708,0.22243109130083075,0.00011581871891878494,32.643394934976044,67175202,49086
GERAL,11924,2218020,101,891,0.22242096265446085,4.55361087817062e-05,32.64613278576318,67175202,49086
GERAL,11925,2217028,112,801,0.2224097263742617,5.051808096244161e-05,32.648870636550306,67175202,49086
GERAL,11926,2216115,323,863,0.22237731003232147,0.00014575055897369946,32.65160848733744,67175202,49086
GERAL,11927,2214929,402,728,0.22233694951573924,0.00018149565968028771,32.65434633812457,67175202,49086
GERAL,11928,2213799,386,6,0.22229818264371828,0.0001743609062972745,32.6570841889117,67175202,49086
GERAL,11929,2213407,342,6,0.22226383470026995,0.00015451292961484264,32.65982203969884,67175202,49086
GERAL,11930,2213059,249,629,0.22223882691925717,0.00011251394562910433,32.662559890485966,67175202,49086
GERAL,11931,2212181,96,743,0.2222291826237026,4.3396087390679155e-05,32.6652977412731,67175202,49086
GERAL,11932,2211342,66,704,0.22222254994270926,2.9846129635307428e-05,32.668035592060235,67175202,49086
GERAL,11933,2210572,302,793,0.2221921907370002,0.00013661622421708047,32.67077344284736,67175202,49086
GERAL,11934,2209477,311,582,0.2221609155658537,0.00014075729233660274,32.6735112936345,67175202,49086
GERAL,11935,2208584,339,6,0.22212681564011993,0.00015349201117095842,32.67624914442163,67175202,49086
GERAL,11936,2208239,278,12,0.22209885161324242,0.0001258921701862887,32.67898699520876,67175202,49086
GERAL,11937,2207949,285,591,0.22207018330038292,0.00012907906840239517,32.681724845995895,67175202,49086
GERAL,11938,2207073,95,715,0.22206062463720613,4.304343354297751e-05,32.68446269678302,67175202,49086
GERAL,11939,2206263,90,794,0.2220515661268575,4.07929607666901e-05,32.68720054757016,67175202,49086
GERAL,11940,2205379,333,664,0.22201803757166574,0.00015099445492135365,32.68993839835729,67175202,49086
GERAL,11941,2204382,327,686,0.22198510321714554,0.0001483408955435129,32.69267624914442,67175202,49086
GERAL,11942,2203369,141,7,0.221970897743821,6.399291267145903e-05,32.695414099931554,67175202,49086
GERAL,11943,2203221,319,11,0.22193875901766494,0.00014478801718030102,32.69815195071869,67175202,49086
GERAL,11944,2202891,274,669,0.22191115382976828,0.00012438200528305758,32.70088980150582,67175202,49086
GERAL,11945,2201948,132,1038,0.22189785093964304,5.994691972744134e-05,32.70362765229295,67175202,49086
GERAL,11946,2200778,88,803,0.2218889781633418,3.9985859546033265e-05,32.70636550308008,67175202,49086
GERAL,11947,2199887,105,685,0.22187838746358898,4.772972429947538e-05,32.709103353867214,67175202,49086
GERAL,11948,2199097,127,822,0.2218655737699648,5.775097687823684e-05,32.71184120465435,67175202,49086
GERAL,11949,2198148,384,7,0.22182681551513952,0.00017469251387986615,32.714579055441476,67175202,49086
GERAL,11950,2197757,292,16,0.22179734299832787,0.0001328627323220902,32.71731690622861,67175202,49086
GERAL,11951,2197449,259,648,0.22177120108930673,0.00011786394132469058,32.720054757015745,67175202,49086
GERAL,11952,2196542,83,581,0.2217628210948926,3.778666649670254e-05,32.72279260780287,67175202,49086
GERAL,11953,2195878,108,727,0.221751914120699,4.918306026108919e-05,32.72553045859001,67175202,49086
