termo,log_hr,se_log_hr,hazard_ratio,ci_95_inf_hr,ci_95_sup_hr,p_valor,abs_log_hr
uf_grupo=SP,0.19081392189029792,0.07117448973163784,1.2102342330294027,1.0526538855107919,1.3914040682855113,0.007341757247206773,0.19081392189029792
uf_grupo=BA,0.16998377004038126,0.07234044773933206,1.1852856140266033,1.028600456170942,1.3658383859251786,0.018784766138235428,0.16998377004038126
uf_grupo=DF,0.1738839475672484,0.07517088057585826,1.1899174649904634,1.0269073667300608,1.3788035993917684,0.02071262038896003,0.1738839475672484
cnae_grupo=96,0.055245966081611524,0.024044445440287245,1.0568005197931607,1.0081527733120181,1.1077957311629023,0.02158113464870785,0.055245966081611524
uf_grupo=SE,0.173233390486453,0.08102971666271203,1.189143607504578,1.0145225057820133,1.3938207493770831,0.03252490110164259,0.173233390486453
uf_grupo=RO,0.17159519563138492,0.08039405051794984,1.1871971533357348,1.0141245743838112,1.389806653432943,0.03280788044076017,0.17159519563138492
uf_grupo=CE,0.15373895530933065,0.07342833609299897,1.166186420267144,1.0098704558803462,1.3466982412411848,0.03628422684479431,0.15373895530933065
uf_grupo=ES,0.15391424522483016,0.07447093799731179,1.1663908589037013,1.0079856050624407,1.3496895480465108,0.03875590159853575,0.15391424522483016
uf_grupo=PB,0.146475367829689,0.07656755243362275,1.1577464126604122,0.9964121743581223,1.3452031102405078,0.055745310427315654,0.146475367829689
uf_grupo=MS,0.1269244897446942,0.07632342200401063,1.1353312853894733,0.9775882903820095,1.3185275849411247,0.09631600515011368,0.1269244897446942
uf_grupo=MT,0.10878104168611058,0.0750409332353999,1.1149182030035243,0.9624275534253339,1.2915700459370152,0.14716375695805675,0.10878104168611058
uf_grupo=RN,0.1113512348273791,0.07729308507119717,1.117787443793968,0.9606545267262931,1.3006223722916395,0.1496874203211597,0.1113512348273791
uf_grupo=RJ,0.09273617225736588,0.07182019703505177,1.0971722326069349,0.9531063112057224,1.2630143079011211,0.196625000852508,0.09273617225736588
uf_grupo=PA,0.0840707461934764,0.07453318506856466,1.0877058421348467,0.9398719727520676,1.2587927221087283,0.25933514219174736,0.0840707461934764
uf_grupo=MA,0.07663810940704434,0.07569228766355318,1.0796512900403747,0.9307951591386971,1.2523130321868738,0.31130114188820035,0.07663810940704434
cnae_grupo=45,-0.014440893367375862,0.025169762472653262,0.9856628762241796,0.9382182123036725,1.035506764658782,0.5661439214976327,0.014440893367375862
uf_grupo=AP,-0.0587805628021392,0.10363716661093315,0.9429136567875188,0.7695836098581054,1.1552820938069863,0.5705942896071032,0.0587805628021392
uf_grupo=PI,0.01697026406540854,0.07951698772034936,1.0171150770081547,0.8703323158494459,1.1886529559316754,0.8310018484047262,0.01697026406540854
uf_grupo=AM,-0.011431545110777878,0.07865033872578618,0.9886335467314847,0.8473992071767302,1.1534071326066664,0.8844373665141378,0.011431545110777878
